Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;1;Serviço;170050-90010/2022;Contração de serviços de locação de uma Central Telefônica para a GRTb-PB;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;732;SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS;;;22110;LOCAÇÃO EQUIPAMENTO / PRODUÇÃO GRAVAÇÃO - ESPERA TELEFÔNICA;UN;1,0000;1000,0000;1000,0000;0,0000;09/03/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;2;Obras e Serviços de Engenharia;170050-90011/2022;Contratação de restauração e estabilização da igreja de São Miguel;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;964;SERVIÇOS DE PRESERVAÇÃO E RELACIONADOS COM MUSEUS;;;22969;RESTAURAÇÃO/ CONSERVAÇÃO E PRESERVAÇÃO DE PATRIMÔNIO HISTÓRICO;UN;1,0000;4016824,0400;4016824,0400;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;3;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;14399;QUADRO AVISOS;481487;COMPRIMENTO: 1,10, LARGURA: 1,20, FINALIDADE: ANEXAR AVISOS, CARACTERÍSTICAS ADICIONAIS: TELA EM CORTIÇA E PAPELÃO, ALTURA: 1,20, FORMATO: QUADRADO, REVESTIMENTO: CORTIÇA, MATERIAL SUPORTE: MADEIRA AGLOMERADA, ESPESSURA: 10;UN;1,0000;180,0000;180,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;4;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7230;TAPEÇARIAS, CORTINAS E PERSIANAS;760;PERSIANA;216588;MATERIAL: PVC - CLORETO DE POLIVINILA, TIPO: HORIZONTAL, TIPO LUMINOSIDADE: NÃO APLICÁVEL, TRATAMENTO SUPERFICIAL: ELETROSTÁTICO, TAMANHO: 25, APLICAÇÃO: AMBIENTE DOMÉSTICO;M2;165,0000;150,0000;24750,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;5;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;1069;CAFETEIRA ELÉTRICA;423372;MATERIAL: AÇO INOXIDÁVEL, CAPACIDADE: 10, VOLTAGEM: 110/220, CARACTERÍSTICAS ADICIONAIS: COM 2 DEPÓSITOS;UN;1,0000;1000,0000;1000,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;6;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;342;MESA REUNIÃO REDONDA;262911;MATERIAL: AÇO, DIÂMETRO: 1,20, ALTURA: 0,74, ACABAMENTO ESTRUTURA: PINTADO, MATERIAL TAMPO: AGLOMERADO MDF;UN;2,0000;700,0000;1400,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;7;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;2610;PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES;577;PNEU VEÍCULO AUTOMOTIVO;429623;MATERIAL CARCAÇA: LONA NÁILON, MATERIAL TALÃO: AÇO, MATERIAL BANDA RODAGEM: BORRACHA ALTA RESISTÊNCIA, MATERIAL FLANCOS: MISTURA BORRACHA ALTA FLEXIBILIDADE, TIPO ESTRUTURA: CARCAÇA RADIAL, CARACTERÍSTICAS ADICIONAIS: SEM CÂMARA, DIMENSÕES: 255/70 R16;UN;4,0000;1300,0000;5200,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;8;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7490;MÁQUINAS DIVERSAS PARA ESCRITÓRIO;292;FRAGMENTADORA PAPEL;300535;MATERIAL: METAL, TENSÃO MOTOR: 110/220, POTÊNCIA MOTOR: 2.000, LIMITE OPERACIONAL: MÍNIMO DE 50, DIMENSÕES PICOTE: MÁXIMO DE 6, CAPACIDADE LIXEIRA: MÍNIMO DE 140, TIPO: ELÉTRICO, CARACTERÍSTICAS ADICIONAIS: DESTROI CLIPS, GRAMPO, DISQUETE, CD E CARTÃO PVC,;UN;1,0000;4200,0000;4200,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;9;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7320;EQUIPAMENTOS E APARELHOS DE COZINHA;1097;SANDUICHEIRA;317762;MATERIAL: AÇO INOX ESCOVADO, TENSÃO: 110/220, POTÊNCIA: 2.500, CARACTERÍSTICAS ADICIONAIS: PLACAS ALUMÍNIO FUNDIDO, CONTROLE ALTA SENSIBILIDA;UN;1,0000;250,0000;250,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;10;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;1045;FORNO MICROONDAS;473582;CAPACIDADE: 32, POTÊNCIA: 900, VOLTAGEM: 220, CARACTERÍSTICAS ADICIONAIS: ALARME SONORO;UN;1,0000;700,0000;700,0000;0,0000;30/06/2023
